,phrase,sentiment_values
81,"But taken as a stylish and energetic one-shot , The Queen of the Damned can not be said to suck .",3
82,"You won't like Roger , but you will quickly recognize him .",1
83,And that's a big part of why we go to the movies .,3
84,"While the stoically delivered hokum of Hart's War is never fun , it's still a worthy addition to the growing canon of post-Saving Private Ryan tributes to the greatest generation .",2
85,"We know the plot's a little crazy , but it held my interest from start to finish .",3
86,A sober and affecting chronicle of the leveling effect of loss .,2
87,"A fast , funny , highly enjoyable movie .",4
88,"A celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences .",3
89,"Writer\/director Joe Carnahan's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic .",3
90,"A smart , witty follow-up .",4
91,"While the ideas about techno-saturation are far from novel , they're presented with a wry dark humor .",4
92,An infectious cultural fable with a tasty balance of family drama and frenetic comedy .,3
93,"Although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs .",2
94,It provides an honest look at a community striving to anchor itself in new grounds .,3
95,"Add yet another hat to a talented head , Clooney's a good director .",4
96,"Building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise .",3
97,"Ultimately feels empty and unsatisfying , like swallowing a Communion wafer without the wine .",0
98,"Chilling , well-acted , and finely directed : David Jacobson's Dahmer .",3
99,"A swashbuckling tale of love , betrayal , revenge and above all , faith .",3
100,"Without ever becoming didactic , director Carlos Carrera expertly weaves this novelistic story of entangled interrelationships and complex morality .",3
101,It's a coming-of-age story we've all seen bits of in other films -- but it's rarely been told with such affecting grace and cultural specificity .,2
102,A literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002 .,4
103,Makes even the claustrophobic on-board quarters seem fun .,2
104,"This is as respectful a film as Byatt fans could hope for , though lovers of the book may wonder why it's necessary .",2
105,One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals ... a psychological masterpiece .,4
106,"Not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics .",3
107,For the most part Stevens glides through on some solid performances and witty dialogue .,3
108,Broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case .,3
109,"Against all odds in heaven and hell , it creeped me out just fine .",3
110,It's refreshing to see a girl-power movie that doesn't feel it has to prove anything .,4
111,"It's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children .",3
112,A rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love .,3
113,This surreal Gilliam-esque film is also a troubling interpretation of Ecclesiastes .,3
114,A rewarding work of art for only the most patient and challenge-hungry moviegoers .,3
115,A quiet treasure -- a film to be savored .,4
116,"May be far from the best of the series , but it's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation .",3
117,A compelling Spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession .,3
118,Huston nails both the glad-handing and the choking sense of hollow despair .,3
119,"may not have generated many sparks , but with his affection for Astoria and its people he has given his tale a warm glow .",2
120,A delirious celebration of the female orgasm .,2
121,"Exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran Bouquet and the chilling but quite human Berling .",4
122,It's fascinating to see how Bettany and McDowell play off each other .,3
123,"The film is beautifully mounted , but , more to the point , the issues are subtly presented , managing to walk a fine line with regard to the question of Joan's madness .",3
124,Leigh's film is full of memorable performances from top to bottom .,4
125,One of the most significant moviegoing pleasures of the year .,4
126,"Jose Campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor , bittersweet pathos , and lyric moments that linger like snapshots of memory .",4
127,"Generally , Clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes .",3
128,The movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that's all too rare in Hollywood's hastier productions .,4
129,"Neither Parker nor Donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula .",3
130,"It's a much more emotional journey than what Shyamalan has given us in his past two movies , and Gibson , stepping in for Bruce Willis , is the perfect actor to take us on the trip .",3
131,"Not only are the special effects and narrative flow much improved , and Daniel Radcliffe more emotionally assertive this time around as Harry , but the film conjures the magic of author J.K. Rowling's books .",4
132,"Beautifully observed , miraculously unsentimental comedy-drama .",4
133,"A must-see for the David Mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking .",4
134,"Crackerjack entertainment -- nonstop romance , music , suspense and action .",4
135,"The acting , costumes , music , cinematography and sound are all astounding given the production's austere locales .",4
136,"Far more imaginative and ambitious than the trivial , cash-in features Nickelodeon has made from its other animated TV series .",4
137,"The very definition of the ` small ' movie , but it is a good stepping stone for director Sprecher .",3
138,"A gripping , searing portrait of a lost soul trying to find her way through life .",2
139,Suffers from the lack of a compelling or comprehensible narrative .,0
140,"Still , as a visual treat , the film is almost unsurpassed .",4
141,"So unassuming and pure of heart , you can't help but warmly extend your arms and yell ` Safe ! '",3
142,An intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution .,3
143,So refreshingly incisive is Grant that for the first time he'll probably appeal more to guys than to their girlfriends who drag them to this movie for the Hugh factor .,3
144,"At a time when half the so-called real movies are little more than live-action cartoons , it's refreshing to see a cartoon that knows what it is , and knows the form's history .",4
145,The magic of the film lies not in the mysterious spring but in the richness of its performances .,3
146,What better message than ` love thyself ' could young women of any size receive ?,3
147,The second coming of Harry Potter is a film far superior to its predecessor .,4
148,A movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the Godzilla sized soda .,3
149,84 minutes of rolling musical back beat and supercharged cartoon warfare .,2
150,"It's also , clearly , great fun .",4
151,... takes the beauty of baseball and melds it with a story that could touch anyone regardless of their familiarity with the sport,3
152,"Seldahl's Barbara is a precise and moving portrait of someone whose world is turned upside down , first by passion and then by illness .",3
153,"A warm but realistic meditation on friendship , family and affection .",4
154,"Byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama .",3
155,Turns potentially forgettable formula into something strangely diverting .,3
156,Bogdanovich tantalizes by offering a peep show into the lives of the era's creme de la celluloid .,3
157,People cinema at its finest .,4
158,The performances take the movie to a higher level .,4
159,"what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we've shared a great adventure .",4
160,"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",4
161,"Manages to transcend the sex , drugs and show-tunes plot into something far richer .",4
162,Dense with characters and contains some thrilling moments .,3
163,LaPaglia's ability to convey grief and hope works with Weaver's sensitive reactions to make this a two-actor master class .,3
164,Reign of Fire looks as if it was made without much thought -- and is best watched that way .,3
165,"Altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece .",4
166,The best film about baseball to hit theaters since Field of Dreams .,4
167,"Instead of a hyperbolic beat-charged urban western , it's an unpretentious , sociologically pointed slice of life .",3
168,the film tunes into a grief that could lead a man across centuries .,3
169,"If The Count of Monte Cristo doesn't transform Caviezel into a movie star , then the game is even more rigged than it was two centuries ago .",2
170,"As a tolerable diversion , the film suffices ; a Triumph , however , it is not .",2
171,"If director Michael Dowse only superficially understands his characters , he doesn't hold them in contempt .",1
172,If your taste runs to ` difficult ' films you absolutely can't miss it .,3
173,"... a story we haven't seen on the big screen before , and it's a story that we as Americans , and human beings , should know .",3
174,"Like Leon , it's frustrating and still oddly likable .",3
175,"All in all , The Count of Monte Cristo is okay , but it is surely no classic , like the novel upon which it is based .",2
176,"If you can stomach the rough content , it's worth checking out for the performances alone .",3
177,"Looking aristocratic , luminous yet careworn in Jane Hamilton's exemplary costumes , Rampling gives a performance that could not be improved upon . '",4
178,"... Mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . '",3
179,"On this tricky topic , Tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .",4
180,"Fun , flip and terribly hip bit of cinematic entertainment .",3
181,Montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters .,4
182,Falls neatly into the category of Good Stupid Fun .,3
183,The film's performances are thrilling .,4
184,"Even in its most tedious scenes , Russian Ark is mesmerizing .",3
185,"The continued good chemistry between Carmen and Juni is what keeps this slightly disappointing sequel going , with enough amusing banter -- blessedly curse-free -- to keep both kids and parents entertained .",3
186,Reggio's continual visual barrage is absorbing as well as thought-provoking .,3
187,It all adds up to good fun .,3
188,"A big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion .",4
189,The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .,4
190,A stunning and overwhelmingly cogent case for Kissinger as a calculating war criminal .,2
191,Sade is an engaging look at the controversial eponymous and fiercely atheistic hero .,3
192,"a quiet , pure , elliptical film",3
193,"Kinnear doesn't aim for our sympathy , but rather delivers a performance of striking skill and depth .",3
194,The subtle strength of `` Elling '' is that it never loses touch with the reality of the grim situation .,3
195,"A study in shades of gray , offering itself up in subtle plot maneuvers ...",3
196,"The format gets used best ... to capture the dizzying heights achieved by motocross and BMX riders , whose balletic hotdogging occasionally ends in bone-crushing screwups .",3
197,Has a lot of the virtues of Eastwood at his best .,3
198,"Chilling but uncommercial look into the mind of Jeffrey Dahmer , serial killer .",2
199,"Though it's become almost redundant to say so , major kudos go to Leigh for actually casting people who look working-class .",3
200,It deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons .,3
201,A movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it's approached with imagination and flair .,3
202,"Thanks to Scott's charismatic Roger and Eisenberg's sweet nephew , Roger Dodger is one of the most compelling variations on In the Company of Men .",4
203,"Nine Queens is not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head .",4
204,It's the chemistry between the women and the droll scene-stealing wit and wolfish pessimism of Anna Chancellor that makes this `` Two Weddings and a Funeral '' fun .,4
205,Will amuse and provoke adventurous adults in specialty venues .,4
206,You don't have to know about music to appreciate the film's easygoing blend of comedy and romance .,4
207,A film about a young man finding God that is accessible and touching to the marrow .,3
208,"For the first time in years , De Niro digs deep emotionally , perhaps because he's been stirred by the powerful work of his co-stars .",3
209,The film's snags and stumblings are more than compensated for by its wryly subversive tone .,2
210,"Inside the film's conflict-powered plot there is a decent moral trying to get out , but it's not that , it's the tension that keeps you in your seat .",3
211,Affleck and Jackson are good sparring partners .,3
212,"The old-world - meets-new mesh is incarnated in the movie's soundtrack , a joyful effusion of disco Bollywood that , by the end of Monsoon Wedding , sent my spirit soaring out of the theater .",4
213,"Having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , Khouri then gets terrific performances from them all .",4
214,"Warm Water Under a Red Bridge is a quirky and poignant Japanese film that explores the fascinating connections between women , water , nature , and sexuality .",4
215,"Although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .",3
216,"The best revenge may just be living well because this film , unlike other Dumas adaptations , is far more likened to a treasure than a lengthy jail sentence .",3
217,"A delectable and intriguing thriller filled with surprises , Read My Lips is an original .",4
218,"This is a story of two misfits who don't stand a chance alone , but together they are magnificent .",3
219,"Highbrow self-appointed guardians of culture need not apply , but those who loved Cool as Ice have at last found a worthy follow-up .",3
220,"One of creepiest , scariest movies to come along in a long , long time , easily rivaling Blair Witch or The Others .",3
221,"Maud and Roland's search for an unknowable past makes for a haunting literary detective story , but LaBute pulls off a neater trick in Possession : He makes language sexy .",4
222,"Pacino is brilliant as the sleep-deprived Dormer , his increasing weariness as much existential as it is physical .",4
223,Rare Birds has more than enough charm to make it memorable .,3
224,Manages to be sweet and wickedly satisfying at the same time .,4
225,This Nickleby thing might have more homosexual undertones than an Eddie Murphy film .,1
226,"And just when you think it can't get any more gay , in pops Nathan Lane .",2
227,"No sophomore slump for director Sam Mendes , who segues from Oscar winner to Oscar-winning potential with a smooth sleight of hand .",4
228,"The movie isn't just hilarious : It's witty and inventive , too , and in hindsight , it isn't even all that dumb .",4
229,Old-form moviemaking at its best .,4
230,Ahhhh ... revenge is sweet !,3
231,Yakusho and Shimizu ... create engaging characterizations in Imamura's lively and enjoyable cultural mix .,4
232,You will emerge with a clearer view of how the gears of justice grind on and the death report comes to share airtime alongside the farm report .,3
233,"Ruzowitzky has taken this mothball-y stuff and made a rather sturdy , old-fashioned entertainment out of it .",2
234,"In spite of Good Housekeeping's unsavory characters and WWF mentality , this white trash War of the Roses is a surprisingly engaging film .",2
235,Collateral Damage finally delivers the goods for Schwarzenegger fans .,3
236,There has always been something likable about the Marquis de Sade .,3
237,"As a first-time director , Paxton has tapped something in himself as an actor that provides Frailty with its dark soul .",3
238,"For the most part , director Anne-Sophie Birot's first feature is a sensitive , extraordinarily well-acted drama .",4
239,"By the time we learn that Andrew's Turnabout Is Fair Play is every bit as awful as Borchardt's Coven , we can enjoy it anyway .",2
240,This riveting World War II moral suspense story deals with the shadow side of American culture : racial prejudice in its ugly and diverse forms .,1
241,"A tender , heartfelt family drama .",3
242,"A difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear .",3
243,"For the most part , it's a work of incendiary genius , steering clear of knee-jerk reactions and quick solutions .",4
244,"It has the charm of the original American road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker's motherland .",3
245,"In all , this is a watchable movie that's not quite the memorable experience it might have been .",1
246,Huppert's superbly controlled display of murderous vulnerability ensures that malice has a very human face .,2
247,My thoughts were focused on the characters .,3
248,That is a compliment to Kuras and Miller .,3
249,"If I had been thinking about the visual medium , they would have been doing something wrong .",2
250,One of the more intelligent children's movies to hit theaters this year .,4
251,Remember the kind of movie we were hoping `` Ecks vs. Sever '' or `` xXx '' was going to be ?,2
252,This is it .,2
253,"Not for the prurient or squeamish , it's a daring if overlong examination of an idolized culture , self-loathing and sexual politics .",2
254,"A cartoon that's truly cinematic in scope , and a story that's compelling and heartfelt -- even if the heart belongs to a big , four-legged herbivore .",3
255,"The film's almost unbearable portrait of sadness and grief transcends its specific story to speak to the ways in which need , history and presumption tangle , and sometimes destroy , blood ties .",2
256,Travels a fascinating arc from hope and euphoria to reality and disillusionment .,3
257,"There's something auspicious , and daring , too , about the artistic instinct that pushes a majority-oriented director like Steven Spielberg to follow A.I. with this challenging report so liable to unnerve the majority .",3
258,"For anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of Hell Houses in particular , it's an eye-opener .",3
259,It seems like I have been waiting my whole life for this movie and now I can't wait for the sequel .,3
260,It's a bit disappointing that it only manages to be decent instead of dead brilliant .,1
261,"An operatic , sprawling picture that's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length .",3
262,"The far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past .",3
263,It inspires a continuing and deeply satisfying awareness of the best movies as monumental ` picture shows . ',4
264,"Awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . '",4
265,It's unnerving to see Recoing's bizzarre reaction to his unemployment .,2
266,"Good film , but very glum .",3
267,"Much as we might be interested in gratuitous sexualization , Haneke has a different objective in mind -- namely the implications of our craving for fake stimulation .",2
268,"Dazzling in its complexity , disturbing for its extraordinary themes , The Piano Teacher is a film that defies categorisation .",4
269,"It haunts , horrifies , startles and fascinates ; it is impossible to look away .",4
270,"Ah yes , and then there's the music ...",2
271,"It has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience .",3
272,"Although Jackson is doubtless reserving the darkest hours for The Return of the King , we long for a greater sense of urgency in the here and now of The Two Towers .",2
273,It is great summer fun to watch Arnold and his buddy Gerald bounce off a quirky cast of characters .,3
274,"Bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves .",3
275,"It will not appeal to the impatient , but those who like long books and movies will admire the way it accumulates power and depth .",2
276,This flick is about as cool and crowd-pleasing as a documentary can get .,4
277,"`` The Ring '' is pretty much an English-language copy of the film that inspired it , and it carries the same strengths and flaws .",2
278,The Wild Thornberrys Movie is a jolly surprise .,3
279,Griffiths proves she's that rare luminary who continually raises the standard of her profession .,4
280,"Prancing his way through the tailor-made part of a male hooker approaching the end of his vitality , Jagger obviously relishes every self-mocking moment .",2
281,"Offers much to enjoy ... and a lot to mull over in terms of love , loyalty and the nature of staying friends .",3
282,"An important movie , a reminder of the power of film to move us and to make us examine our values .",4
283,Is this love or is it masochism ?,2
284,Binoche makes it interesting trying to find out .,4
285,The mesmerizing performances of the leads keep the film grounded and keep the audience riveted .,4
286,Worth watching for Dong Jie's performance -- and for the way it documents a culture in the throes of rapid change .,3
287,Two hours fly by -- opera's a pleasure when you don't have to endure intermissions -- and even a novice to the form comes away exhilarated .,4
288,It's one heck of a character study -- not of Hearst or Davies but of the unique relationship between them .,3
289,Candid Camera on methamphetamines .,2
290,A subject like this should inspire reaction in its audience ; The Pianist does not .,1
291,Equilibrium is what George Orwell might have imagined had today's mood-altering drug therapy been envisioned by chemists in 1949 .,2
292,"Creepy , authentic and dark .",2
293,This disturbing bio-pic is hard to forget .,2
294,"Martin and Barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by Sven Wollter and Viveka Seldahl make their hopes and frustrations vivid .",4
295,"A twisty , moody slice of Southern Gothic ...",2
296,It's so good that you can practically see the Hollywood ` suits ' trying to put together the cast and filmmaking team for the all-too - inevitable American remake .,2
297,"The weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .",3
298,"An absurdist comedy about alienation , separation and loss .",1
299,` They ' begins and ends with scenes so terrifying I'm still stunned .,2
300,And I've decided to leave a light on every night from now on .,2
301,"This tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , Nicholas Meyer's Star Trek VI : The Undiscovered Country .",3
302,... with `` The Bourne Identity '' we return to the more traditional action genre .,3
303,Beneath Clouds is a succinct low-budget film whose compelling characters and intelligent script are exactly what was missing from Rabbit-Proof Fence .,2
304,"The film is a contrivance , as artificial as the video games Japanese teens play in a nightclub sequence , but it's an enjoyable one .",2
305,Holm ... embodies the character with an effortlessly regal charisma .,4
306,"It is amusing , and that's all it needs to be .",4
307,Among the year's most intriguing explorations of alientation .,4
308,"A full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution .",3
309,Seldom has a movie so closely matched the spirit of a man and his work .,4
310,The story and structure are well-honed .,3
311,Fresnadillo's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that won't go away .,3
312,It's made with deftly unsettling genre flair .,3
313,"It just may inspire a few younger moviegoers to read Stevenson's book , which is a treasure in and of itself .",3
314,Funny but perilously slight .,3
315,Overall very good for what it's trying to do .,3
316,Forgettable horror -- more gory than psychological -- with a highly satisfying quotient of Friday-night excitement and Milla power .,2
317,"Ramsay , as in Ratcatcher , remains a filmmaker with an acid viewpoint and a real gift for teasing chilly poetry out of lives and settings that might otherwise seem drab and sordid .",3
318,"It may seem long at 110 minutes if you're not a fan , because it includes segments of 12 songs at a reunion concert .",2
319,"A lean , deftly shot , well-acted , weirdly retro thriller that recalls a raft of '60s and '70s European-set spy pictures .",4
320,"It proves quite compelling as an intense , brooding character study .",3
321,The Son's Room is a triumph of gentility that earns its moments of pathos .,3
322,"Morton uses her face and her body language to bring us Morvern's soul , even though the character is almost completely deadpan .",3
323,"The film may appear naked in its narrative form ... but it goes deeper than that , to fundamental choices that include the complexity of the Catholic doctrine",3
324,A superbly acted and funny\/gritty fable of the humanizing of one woman at the hands of the unseen forces of fate .,3
325,One of the smartest takes on singles culture I've seen in a long time .,4
326,"There is a fabric of complex ideas here , and feelings that profoundly deepen them .",3
327,CQ's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best European directors .,3
328,The emotions are raw and will strike a nerve with anyone who's ever had family trauma .,3
329,"Holy mad maniac in a mask , Splat-Man !",2
330,Good old-fashioned slash-and-hack is back !,3
331,As unseemly as its title suggests .,3
332,"The French are rather good at this kind of thing , unlike the Americans , who have a passion for Musketeers , only to spoof them .",2
333,The fly-on-the-wall method used to document rural French school life is a refreshing departure from the now more prevalent technique of the docu-makers being a visible part of their work .,3
334,It's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part .,3
335,Allows us to hope that Nolan is poised to embark a major career as a commercial yet inventive filmmaker .,3
336,"Maneuvers skillfully through the plot's hot brine -- until it's undone by the sogginess of its contemporary characters , and actors .",2
337,"It has the ability to offend and put off everyone , but it holds you with its outrageousness .",2
338,"Anchored by Friel and Williams's exceptional performances , the film's power lies in its complexity .",4
339,Nothing is black and white .,2
340,It's a charming and often affecting journey .,4
341,No screen fantasy-adventure in recent memory has the showmanship of Clones ' last 45 minutes .,4
342,"A poignant and compelling story about relationships , Food of Love takes us on a bumpy but satisfying journey of the heart .",4
343,The Chateau cleverly probes the cross-cultural differences between Gauls and Yanks .,3
344,Not since Tom Cruise in Risky Business has an actor made such a strong impression in his underwear .,3
345,"Aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better .",3
346,Uses high comedy to evoke surprising poignance .,4
347,It confirms Fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight .,4
